Date,Code,SampleID,i161,i196,Ratio,nGrains,calibrated,CoreCode,Section,Depth,calBatch,Time
2024-06-26T00:00:00Z,2435,M001,2120368,4046166,0.5240437490701073,100,0.5685769410793298,C-13 8.8-21.6,C-13,8.8-21.6,26/06/2024,41 ka BP
2024-06-26T00:00:00Z,2436,M004,2194092,4293484,0.5110283396887003,100,0.5575044459187224,C-13 21.6-36,C-13,21.6-36,26/06/2024,41 ka BP
2024-06-26T00:00:00Z,2437,M007,2205276,4293484,0.5136332172193957,100,0.5597204725535667,C-13 36-56.1,C-13,36-56.1,26/06/2024,41 ka BP
2024-06-26T00:00:00Z,2438,M010,1996480,4203474,0.4749595215766768,100,0.526819909,C-17 53.9-57.7,C-17,53.9-57.7,26/06/2024,53 ka BP
2024-06-26T00:00:00Z,2439,M013,1324520,4370063,0.3030894520284948,100,0.3806062585586881,C-17 57.7-61.1,C-17,57.7-61.1,26/06/2024,53 ka BP
2024-06-26T00:00:00Z,2440,M016,1278467,4331943,0.2951255360469886,100,0.37383117998984355,C-02 27.6-44.6,C-02,27.6-44.6,26/06/2024,01 ka BP
2024-06-26T00:00:00Z,2441,M019,1385681,4250542,0.32600101351780547,100,0.400097628,C-13 56.1-75.5,C-13,56.1-75.5,26/06/2024,41 ka BP
2024-06-26T00:00:00Z,2442,M022,1815106,3793987,0.47841650485360127,100,0.5297608404116998,C-17 61.1-65.5,C-17,61.1-65.5,26/06/2024,53 ka BP
2024-06-26T00:00:00Z,2443,M025,1314899,3947398,0.33310525059798884,100,0.40614135888962816,C-17 65.5-69.4,C-17,65.5-69.4,26/06/2024,53 ka BP
2024-06-26T00:00:00Z,2444,M028,1268799,4097359,0.3096626387875702,100,0.3861982131754673,C-08 22.8-31,C-08,22.8-31,26/06/2024,08 ka BP
2024-06-26T00:00:00Z,2445,M031,1499398,4185782,0.3582121572504254,100,0.42750035684815946,C-08 31-50.9,C-08,31-50.9,26/06/2024,08 ka BP
2024-06-26T00:00:00Z,2446,M034,1180955,4309600,0.2740289121960275,100,0.3558838178554942,B-22 66.2-69.1,B-22,66.2-69.1,26/06/2024,65 ka BP
2024-06-26T00:00:00Z,2447,M037,1379959,4115740,0.3352881863285825,100,0.40799843035043387,B-22 69.1-72.1,B-22,69.1-72.1,26/06/2024,65 ka BP
2024-06-26T00:00:00Z,2448,M040,1482849,4211705,0.35207807764313975,100,0.4222819603478177,B-22 72.1-75.2,B-22,72.1-75.2,26/06/2024,65 ka BP
2024-06-26T00:00:00Z,2449,M043,1638417,4091767,0.4004179612377733,100,0.4634057630251667,B-22 75.2-78.4,B-22,75.2-78.4,26/06/2024,65 ka BP
2024-06-26T00:00:00Z,2450,M046,1417711,3988040,0.3554906670946129,100,0.4251851252871054,C-02 63.1-78.8,C-02,63.1-78.8,26/06/2024,01 ka BP
2024-06-27T00:00:00Z,2460,M049,1452482,3903811,0.3720677051219949,100,0.5081612105785249,C-02 78.8-92.6,C-02,78.8-92.6,27/06/2024,01 ka BP
2024-06-27T00:00:00Z,2461,M052,1130218,4025803,0.28074349390668146,100,0.41767052473642435,C-02 44.6-63.1,C-02,44.6-63.1,27/06/2024,01 ka BP
2024-06-27T00:00:00Z,2462,M055,1656172,4062710,0.4076520352178718,100,0.5434207588708803,C-13 8.8-21.6,C-13,8.8-21.6,27/06/2024,41 ka BP
2024-06-27T00:00:00Z,2463,M058,1427576,4165624,0.3427039982485217,100,0.4790655092471191,C-13 21.6-36,C-13,21.6-36,27/06/2024,41 ka BP
2024-06-27T00:00:00Z,2464,M061,1009493,3895469,0.25914543280924585,100,0.3962695913414605,C-08 50.9-71.4,C-08,50.9-71.4,27/06/2024,08 ka BP
2024-06-27T00:00:00Z,2465,M064,1211081,3945403,0.30696002410907075,100,0.44364777399862826,C-08 71.4-92.6,C-08,71.4-92.6,27/06/2024,08 ka BP
2024-06-27T00:00:00Z,2466,M067,999204,3899230,0.25625674812719434,100,0.3934072719785906,C-17 53.9-57.7,C-17,53.9-57.7,27/06/2024,53 ka BP
2024-06-27T00:00:00Z,2467,M070,1065121.0526315789,3964602,0.26865774991577435,95,0.4056950885613365,C-17 57.7-61.1,C-17,57.7-61.1,27/06/2024,53 ka BP
2024-06-27T00:00:00Z,2468,M002,1859355,3861349,0.481529901,100,0.6166243334153946,C-13 8.8-21.6,C-13,8.8-21.6,27/06/2024,41 ka BP
2024-06-27T00:00:00Z,2469,M005,1785378,4074269,0.4382081791850268,100,0.5736980138012154,C-13 21.6-36,C-13,21.6-36,27/06/2024,41 ka BP
2024-06-27T00:00:00Z,2470,M008,1443282,3972525,0.3633160269601828,100,0.49948940987427853,C-13 36-56.1,C-13,36-56.1,27/06/2024,41 ka BP
2024-06-27T00:00:00Z,2471,M011,1138503,3851944,0.2955658233868405,100,0.432357569,C-17 53.9-57.7,C-17,53.9-57.7,27/06/2024,53 ka BP
2024-06-27T00:00:00Z,2472,M014,1149315,3835748,0.2996325618888415,100,0.4363871902720705,C-17 57.7-61.1,C-17,57.7-61.1,27/06/2024,53 ka BP
2024-06-27T00:00:00Z,2473,M017,1191126,3980916,0.299209026,100,0.4359675203003001,C-02 27.6-44.6,C-02,27.6-44.6,27/06/2024,01 ka BP
2024-06-27T00:00:00Z,2474,M020,1520922,3755180,0.405019733,100,0.5408124816881931,C-13 56.1-75.5,C-13,56.1-75.5,27/06/2024,41 ka BP
2024-06-27T00:00:00Z,2475,M023,1010890,3559715,0.2839805995704712,100,0.4208780850072605,C-17 61.1-65.5,C-17,61.1-65.5,27/06/2024,53 ka BP
2024-06-28T00:00:00Z,2485,M026,1046920,3979005,0.2631110038816237,100,0.3715474619179941,C-17 65.5-69.4,C-17,65.5-69.4,28/06/2024,53 ka BP
2024-06-28T00:00:00Z,2486,M029,1103364,4286960,0.2573767891466214,100,0.3652529767237626,C-08 22.8-31,C-08,22.8-31,28/06/2024,08 ka BP
2024-06-28T00:00:00Z,2487,M032,1092120,4052875,0.2694679702680196,100,0.37852554569207186,C-08 31-50.9,C-08,31-50.9,28/06/2024,08 ka BP
2024-06-28T00:00:00Z,2488,M035,1207894,4163296,0.29012926296857106,100,0.4012055824551621,B-22 66.2-69.1,B-22,66.2-69.1,28/06/2024,65 ka BP
2024-06-28T00:00:00Z,2489,M038,1224560,4166447,0.2939098949296607,100,0.4053556070014451,B-22 69.1-72.1,B-22,69.1-72.1,28/06/2024,65 ka BP
2024-06-28T00:00:00Z,2490,M041,1106490,4035945,0.27415884012294517,100,0.3836747443556067,B-22 72.1-75.2,B-22,72.1-75.2,28/06/2024,65 ka BP
2024-06-28T00:00:00Z,2491,M044,1273748,4102792,0.31045882901204835,100,0.4235214806870007,B-22 75.2-78.4,B-22,75.2-78.4,28/06/2024,65 ka BP
2024-06-28T00:00:00Z,2492,M047,910541,3942267,0.23096888161050483,100,0.33626484309457166,C-02 63.1-78.8,C-02,63.1-78.8,28/06/2024,01 ka BP
2024-06-28T00:00:00Z,2493,M050,1071178,3956563,0.2707344733295034,100,0.37991579442487505,C-02 78.8-92.6,C-02,78.8-92.6,28/06/2024,01 ka BP
2024-06-28T00:00:00Z,2494,M053,1079357,4067852,0.26533831614326187,100,0.37399239722329997,C-02 44.6-63.1,C-02,44.6-63.1,28/06/2024,01 ka BP
2024-06-28T00:00:00Z,2495,M056,1269690,4056517,0.31300004412652527,100,0.4263109892165284,C-13 8.8-21.6,C-13,8.8-21.6,28/06/2024,41 ka BP
2024-06-28T00:00:00Z,2496,M059,1220584,4087246,0.2986323798469679,100,0.4105395097266994,C-13 21.6-36,C-13,21.6-36,28/06/2024,41 ka BP
2024-06-28T00:00:00Z,2497,M062,991287,4062837,0.24398886787729854,100,0.3505569675741755,C-08 50.9-71.4,C-08,50.9-71.4,28/06/2024,08 ka BP
2024-06-28T00:00:00Z,2498,M065,905342,4297276,0.21067811329781935,100,0.31399153338676383,C-08 71.4-92.6,C-08,71.4-92.6,28/06/2024,08 ka BP
2024-06-28T00:00:00Z,2499,M068,911069,4230112,0.2153770396623068,100,0.31914957573378433,C-17 53.9-57.7,C-17,53.9-57.7,28/06/2024,53 ka BP
2024-06-28T00:00:00Z,2500,M071,908012,4271855,0.21255684006128486,100,0.3160538241001644,C-02 27.6-44.6,C-02,27.6-44.6,28/06/2024,01 ka BP
2024-07-01T00:00:00Z,2515,M003,2090809,4094199,0.5106759588383466,100,0.6426074575735119,C-13 8.8-21.6,C-13,8.8-21.6,01/07/2024,41 ka BP
2024-07-01T00:00:00Z,2516,M006,1966680,4253864,0.4623278976478797,100,0.5986757711404281,C-13 21.6-36,C-13,21.6-36,01/07/2024,41 ka BP
2024-07-01T00:00:00Z,2517,M009,1611715,4374511,0.36843318030289557,100,0.5133579077441559,C-13 36-56.1,C-13,36-56.1,01/07/2024,41 ka BP
2024-07-01T00:00:00Z,2518,M012,1033512,4305211,0.24006070782593467,100,0.39671167481083786,C-17 53.9-57.7,C-17,53.9-57.7,01/07/2024,53 ka BP
2024-07-01T00:00:00Z,2519,M015,1063465,4071117,0.2612219201757159,100,0.4159399069799034,C-17 57.7-61.1,C-17,57.7-61.1,01/07/2024,53 ka BP
2024-07-01T00:00:00Z,2520,M018,1122331,4164186,0.26951990136847875,100,0.42347990545785613,C-02 27.6-44.6,C-02,27.6-44.6,01/07/2024,01 ka BP
2024-07-01T00:00:00Z,2521,M021,1793319,4125157,0.4347274540096292,100,0.5735965020761973,C-13 56.1-75.5,C-13,56.1-75.5,01/07/2024,41 ka BP
2024-07-01T00:00:00Z,2522,M024,1006617.9487179487,4113366,0.24471878960392748,39,0.40094426207518086,C-17 61.1-65.5,C-17,61.1-65.5,01/07/2024,53 ka BP
2024-07-01T00:00:00Z,2523,M027,1283083,4267578,0.3006583593785515,100,0.4517740074264784,C-17 65.5-69.4,C-17,65.5-69.4,01/07/2024,53 ka BP
2024-07-01T00:00:00Z,2524,M030,1053678,4106916,0.2565618580949793,100,0.4117055203044355,C-08 22.8-31,C-08,22.8-31,01/07/2024,08 ka BP
2024-07-01T00:00:00Z,2525,M033,1179793,4131194,0.2855816018323032,100,0.4380744428805477,C-08 31-50.9,C-08,31-50.9,01/07/2024,08 ka BP
2024-07-01T00:00:00Z,2526,M036,1413722,4049638,0.3490983638537568,100,0.4957892385448152,B-22 66.2-69.1,B-22,66.2-69.1,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2527,M039,1282583,3994110,0.3211185971342802,100,0.4703652958318188,B-22 69.1-72.1,B-22,69.1-72.1,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2528,M042,1491942,4133142,0.36097041911456224,100,0.5065768357346854,B-22 72.1-75.2,B-22,72.1-75.2,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2529,M045,1570176,4271233,0.36761656411626337,100,0.5126158857196124,B-22 75.2-78.4,B-22,75.2-78.4,01/07/2024,65 ka BP
2024-07-01T00:00:00Z,2530,M048,1265044,4141577,0.30544983227403477,100,0.45612780113844836,C-02 63.1-78.8,C-02,63.1-78.8,01/07/2024,01 ka BP
2024-07-02T00:00:00Z,2540,M051,1159581,4043206,0.28679740779965207,100,0.38425512958186225,C-02 78.8-92.6,C-02,78.8-92.6,02/07/2024,01 ka BP
2024-07-02T00:00:00Z,2451,M054,1483977,4243090,0.34973969442081126,100,0.44587348925728876,C-02 44.6-63.1,C-02,44.6-63.1,02/07/2024,01 ka BP
2024-07-02T00:00:00Z,2542,M057,1576366,4119490,0.3826604749617064,100,0.47810181468140406,C-13 8.8-21.6,C-13,8.8-21.6,02/07/2024,41 ka BP
2024-07-02T00:00:00Z,2543,M060,1527098,4222045,0.36169628698888806,100,0.45757858706834625,C-13 21.6-36,C-13,21.6-36,02/07/2024,41 ka BP
2024-07-02T00:00:00Z,2544,M063,1141064.406779661,4250858,0.2684315511785294,59,0.3662755800647144,C-08 50.9-71.4,C-08,50.9-71.4,02/07/2024,08 ka BP
2024-07-02T00:00:00Z,2545,M066,1138014,4073532,0.2793678802572313,100,0.37698187459062277,C-08 71.4-92.6,C-08,71.4-92.6,02/07/2024,08 ka BP
2024-07-02T00:00:00Z,2546,M069,1088231,4081489,0.26662597890132744,100,0.36450798616291913,C-17 57.7-61.1,C-17,57.7-61.1,02/07/2024,53 ka BP
2024-07-02T00:00:00Z,2547,M072,996121,4162993,0.23928000839780417,100,0.3377372103202561,C-02 27.6-44.6,C-02,27.6-44.6,02/07/2024,01 ka BP
