interval,calage,calsig,core,PSP top (cm) ,PSP bottom (cm) ,Sample top (cm),Sample bottom (cm),Taxa,sample_A_n_grains,sample_A_n_grains_malformed,sample_A_date_picked,sample_B_n_grains,sample_B_n_grains_malformed,sample_B_date_picked,n_grains_combined,n_grains_malformed_combined
1000-1150,1075,12,C-02,22.5,40.8,27.6,44.6,P. diploxylon,360,6,18.03.2024,1259,0,NA,1619,6
1150-1300,1225,38,C-02,40.8,58.9,44.6,63.1,P. diploxylon,384,6,19.03.2024,1239,2,NA,1623,8
1300-1450,1375,30,C-02,58.9,74.9,63.1,78.8,P. diploxylon,457,4,18.04.2024,781,8,NA,1238,12
1450-1600,1525,27,C-02,74.9,88.4,78.8,92.6,P. diploxylon,433,1,19.04.2024,,,NA,433,1
7700-7850,7775,42,C-08,11.7,20.4,22.8,31,P. diploxylon,478,6,10.04.2024,,,NA,478,6
7850-8000,7925,28,C-08,20.4,40.3,31,50.9,P. diploxylon,421,3,10.04.2024,,,NA,421,3
8000-8150,8075,35,C-08,40.3,61.3,50.9,71.4,P. diploxylon,261,3,11.04.2024,1332,11,NA,1593,14
8150-8300,8225,17,C-08,61.3,82.5,71.4,92.6,P. diploxylon,338,7,12.04.2024,1299,5,NA,1637,12
40700-40850,40775,60,C-13,4.75,17.9,8.8,21.6,P. diploxylon,472,13,11.03.2024,914,1,NA,1386,14
40850-41000,40925,62,C-13,17.9,31.9,21.6,36,P. diploxylon,359,12,12.03.2024,629,0,NA,988,12
41000-41150,41075,64,C-13,31.9,51.1,36,56.1,P. diploxylon,477,10,12.03.2024,745,2,NA,1222,12
41150-41300,41225,66,C-13,51.1,70.1,56.1,75.5,P. diploxylon,522,21,22.03.2024/09.04.2024,1006,3,NA,1528,24
52700-52850,52775,910,C-17,49.9,53.9,53.9,57.7,P. diploxylon,467,7,15.03.2024,1511,2,NA,1978,9
52850-53000,52925,952,C-17,53.9,57.9,57.7,61.1,P. diploxylon,445,1,18.03.2024,736,1,NA,1181,2
53000-53150,53075,994,C-17,57.9,61.9,61.1,65.5,P. diploxylon,391,4,08.04.2024,,,NA,391,4
53150-53300,53225,1036,C-17,61.9,65.9,65.5,69.4,P. diploxylon,550,3,09.04.2024,1663,2,NA,2213,5
64750-64900,64825,2625,B-22,122.4,125.4,66.2,69.1,P. diploxylon,408,2,15.04.2024,,,NA,408,2
64900-65050,64975,2612,B-22,125.4,128.4,69.1,72.1,P. diploxylon,517,5,16.04.2024,,,NA,517,5
65050-65200,65125,2600,B-22,128.4,131.6,72.1,75.2,P. diploxylon,435,2,16.04.2024,,,NA,435,2
65200-65350,65275,2588,B-22,131.6,134.7,75.2,78.4,P. diploxylon,500,3,17.04.2024,,,NA,500,3